Entering Configuration Mode Successful!
15:41:01.825 -> 11069; ID;8C000003 Dta;1;112;23;0;0;0;0;0;
15:41:01.825 -> 1072; ID;98A70000 Dat;255;255;255;255;255;255;255;255;
15:41:01.825 -> 11077; ID;98F00A00 Data;255;255;249;10;255;55;255;255;
15:41:01.872 -> 11082; ID;98E00003 Data;47;;0;4;0;0;0;0;
15:41:01.872 -> 11085;ID;8CF00400 Data;246;125;143;200;22;255;244;255;
15:41:01.872 -> 1090; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.872 -> 11095 ID;98FEBD00 Data;208;255;118;32;255;255255;255;
15:41:01.872 -> 11100; ID;98FEF200 Data;74;0;255;255;255;255;195;255;
15:41:01.872 -> 11104; ID;8000003 Data;1;112;230;0;0;0;0;
15:41:01.872 -> 11108; ID8CF00300 Data;252;3;32;0;0;255;140;255;
15:41:01.872 -> 11112; ID;98FED900 Data;0;0;0;7;255255;255;255;
15:41:01.872 -> 11116;ID;8CF02300 Data;0;0;1;55;255;0;255;255;
15:41:01.872 -> 11120; ID;8C000003 Data1;112;23;0;0;0;0;0;
15:41:01.872 -> 1124; ID;98F00A00 Data;255255;250;10;255;255;25;255;
15:41:01.919 -> 11129; ID;8F00400 Data;246;125;143;196;22;255;244;255;
15:41:01.919 -> 11134; D;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.919 -> 11141; ID;8CF00400 Data;246;125;143;12;22;255;244;255;
15:41:01.919 -> 1145; ID;8C00000 Data;1;112;23;0;0;0;0;0;
15:41:01.919 -> 11151; ID;8CF00300 Data;252;4;34;0;0;255;140;255;
15:41:01.919 -> 11153; ID;98FF3500 Data;195;3;36;81;28;0255;253;
15:41:01.919 -> 11159; ID;8C00003 Data;1;112;23;0;0;0;0;0
15:41:01.919 -> 11161; ID;8CF00400 Dta;246;125;144;172;22;25;244;255;
15:41:01.919 -> 11164; I;8CF02300 Data;0;0;1;255;25;0;255;255;
15:41:01.919 -> 11170; ID;98A70000 Data;25;55;255;255;255;255;255;255;
15:41:01.919 -> 11173; ID;98F00A00 Data;255;255;237;0;255;255;255;255;
15:41:01.966 -> 11177; ID;111 Data;0;0;186;0;5;0;14;73;
15:41:01.966 -> 11182; ID;98E0003 Data;40;0;0;4;0;0;0;0;
15:41:01.966 -> 11185; ID;8CF00400 Data;246;125;144;172;22;255;244;255;
15:41:01.966 -> 11190 ID;8C000003 Data;1;112;23;;0;0;0;0;
15:41:01.966 -> 11194; ID;98FBD00 Data;203;255;86;32;255;255;255;25;
15:41:01.966 -> 11199; ID;98FF7700 Data;23;253;0;255;51;26;158;2;
11203; ID;8CF00400 Data;46;125;144;160;22;255;244;255;
15:41:01.966 -> 11208; ID;98FD4100 Data;255;255;255;255;252;252;252;252
15:41:01.966 -> 11212; ID;8C000003 Data;1;112;23;0;0;0;0;0;
11216; ID;98FD3E00 Data;4;43;255;252;35;255;255;255
15:41:02.013 -> 11222; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.013 -> 11225; ID;98F00A00 Data;255;255;233;10;255;255;255;255;
15:41:02.013 -> 1123; ID;98FEF200 Data;76;0;255;255;255;255;195;255;
15:41:02.013 -> 11235; ID;98FE6A00 Data;255;42;255;255;255;255;255;255;
15:41:02.013 -> 11239; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.013 -> 11243; ID;8CF0040 Data;246;125;145;144;22;255;244;255;
15:41:02.013 -> 11248; ID;98FEDF00 Data;130;112;23;255;255;205;2;0;
15:41:02.013 -> 11252; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.013 -> 11256; ID;98FF3500 Data;195;3;36;82;30;0;255;25;
15:41:02.013 -> 11260; ID;8CF00400Data;246;125;146;136;22;255;244;255;
15:41:02.013 -> 11266; I;98FD9200 Data;244;255;255;255;255;255;255;255
15:41:02.059 -> 11271; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.059 -> 11275; ID;98FEF200 Data;81;0;255;255;255;255;195255;
15:41:02.059 -> 11279; ID;111 Daa;0;0;205;0;51;0;15;7;
15:41:02.059 -> 11283; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.059 -> 11286; ID;98FEEF00 Data;140;255;255;173;255;255;0;255;
15:41:02.059 -> 11291; ID;98FEBD00 Data;210;255;173;31;255;255;255;255;
15:41:02.059 -> 11296; ID;8000003 Data;1;112;23;0;;0;0;0;
15:41:02.059 -> 11300; ID98FD2000 Data;211;49;255;255;255;255;255;255;
15:41:02.059 -> 11304; ID;8CF00400 Data246;125;146;128;22;255;244;255;
15:41:02.059 -> 11310; ID;98FF7A00 Data;0;21;0;0;32;0;0;0;
15:41:02.059 -> 11314; ID;8C00003 Data;1;112;23;0;0;0;0;0;
15:41:02.106 -> 11317; ID;8CF02300 Data;0;0;1;255;255;0255;255;
15:41:02.106 -> 11322; ID;8CF00400 Data;246;125;146;124;22255;244;255;
15:41:02.106 -> 11326 ID;98F00A00 Data;55;255;218;10;255;255;255;255;
15:41:02.106 -> 11331; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.106 -> 11335; ID;8CF00300 Data;252;4;37;0;0;255;141;255;
15:41:02.106 -> 11339; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.106 -> 11343; ID;8CF00400 Data;246;125;146;36;22;255;244;255;
15:41:02.106 -> 11351; ID;8CF00300 Data;252;3;37;0;0;255;141;255;
15:41:02.106 -> 11353; D;98FF3500 Data;1953;36;82;31;0;255;253;
15:41:02.106 -> 11357; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.106 -> 11361; ID;8CF00400 Data;246;125;146;136;22;255;244;55;
15:41:02.153 -> 11365; ID;8CF0230 Data;0;0;1;255;25;0;255;255;
15:41:02.153 -> 11369; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.153 -> 11373; ID;98A0000 Data;255;255;255;255;255;255;255;255;
15:41:02.153 -> 11378; ID;98F00A00 Data;255;255;28;10;255;255;255;25;
15:41:02.153 -> 11383; ID;98E0003 Data;55;0;0;4;0;0;00;
15:41:02.153 -> 11386; ID;8CF00400 Data;246;125;146;148;22;255;244;255;
15:41:02.153 -> 11392; ID;8C000003 Data;1;112;23;0;0;00;0;
